names_IUCN,names_phylo,names_elton,diff_IUCN_elton,diff_IUCN_phylo
Apomys_banahao,Apomys_banahao,Apomys_datae,Recently discovered,
Apomys_brownorum,Apomys_brownorum,Apomys_datae,Recently discovered,
Apomys_camiguinensis,Apomys_camiguinensis,Apomys_insignis,Recently discovered,
Apomys_datae,Apomys_datae,Apomys_datae,,
Apomys_gracilirostris,Apomys_gracilirostris,Apomys_gracilirostris,,
Apomys_hylocetes,Apomys_hylocetes,Apomys_hylocetes,,
Apomys_insignis,Apomys_insignis,Apomys_insignis,,
Apomys_littoralis,Apomys_littoralis,Apomys_littoralis,,
Apomys_magnus,Apomys_magnus,Apomys_abrae,Recently discovered,
Apomys_microdon,Apomys_microdon,Apomys_microdon,,
Apomys_minganensis,Apomys_minganensis,Apomys_abrae,Recently discovered,
Apomys_musculus,Apomys_musculus,Apomys_musculus,,
Apomys_sacobianus,Apomys_sacobianus,Apomys_sacobianus,,
Apomys_sierrae,Apomys_sierrae,Apomys_abrae,Recently discovered,
Apomys_zambalensis,Apomys_zambalensis,Apomys_abrae,Recently discovered,
Aproteles_bulmerae,Aproteles_bulmerae,Aproteles_bulmerae,,
Arabitragus_jayakari,Arabitragus_jayakari,Hemitragus_jayakari,New genus,
Arborimus_albipes,Arborimus_albipes,Arborimus_albipes,,
Arborimus_longicaudus,Arborimus_longicaudus,Arborimus_longicaudus,,
Arborimus_pomo,Arborimus_pomo,Arborimus_pomo,,
Archboldomys_luzonensis,Archboldomys_luzonensis,Archboldomys_luzonensis,,
Archboldomys_maximus,Archboldomys_maximus,Archboldomys_luzonensis,Recently discovered,
Arctictis_binturong,Arctictis_binturong,Arctictis_binturong,,
Arctocebus_aureus,Arctocebus_aureus,Arctocebus_aureus,,
Arctocebus_calabarensis,Arctocebus_calabarensis,Arctocebus_calabarensis,,
Arctocephalus_australis,Arctocephalus_australis,Arctocephalus_australis,,
Arctocephalus_forsteri,Arctocephalus_forsteri,Arctocephalus_forsteri,,
Arctocephalus_galapagoensis,Arctocephalus_galapagoensis,Arctocephalus_galapagoensis,,
Arctocephalus_gazella,Arctocephalus_gazella,Arctocephalus_gazella,,
Arctocephalus_philippii,Arctocephalus_philippii,Arctocephalus_philippii,,
Arctocephalus_pusillus,Arctocephalus_pusillus,Arctocephalus_pusillus,,
Arctocephalus_townsendi,Arctocephalus_townsendi,Arctocephalus_townsendi,,
Arctocephalus_tropicalis,Arctocephalus_tropicalis,Arctocephalus_tropicalis,,
Arctogalidia_trivirgata,Arctogalidia_trivirgata,Arctogalidia_trivirgata,,
Arctonyx_albogularis,Arctonyx_collaris,Arctonyx_collaris,Lump/split,Lump/split
Arctonyx_collaris,Arctonyx_collaris,Arctonyx_collaris,,
Arctonyx_hoevenii,Arctonyx_collaris,Arctonyx_collaris,Lump/split,Lump/split
Ardops_nichollsi,Ardops_nichollsi,Ardops_nichollsi,,
Arielulus_aureocollaris,Arielulus_aureocollaris,Arielulus_aureocollaris,,
Arielulus_circumdatus,Arielulus_circumdatus,Arielulus_circumdatus,,
Arielulus_cuprosus,Arielulus_cuprosus,Arielulus_cuprosus,,
Arielulus_societatis,Arielulus_societatis,Arielulus_societatis,,
Arielulus_torquatus,Arielulus_torquatus,Arielulus_torquatus,,
Ariteus_flavescens,Ariteus_flavescens,Ariteus_flavescens,,
Artibeus_amplus,Artibeus_amplus,Artibeus_amplus,,
Artibeus_concolor,Artibeus_concolor,Artibeus_concolor,,
Artibeus_fimbriatus,Artibeus_fimbriatus,Artibeus_fimbriatus,,
Artibeus_fraterculus,Artibeus_fraterculus,Artibeus_fraterculus,,
Artibeus_hirsutus,Artibeus_hirsutus,Artibeus_hirsutus,,
Artibeus_inopinatus,Artibeus_inopinatus,Artibeus_inopinatus,,
Artibeus_jamaicensis,Artibeus_jamaicensis,Artibeus_jamaicensis,,
Artibeus_lituratus,Artibeus_lituratus,Artibeus_lituratus,,
Artibeus_obscurus,Artibeus_obscurus,Artibeus_obscurus,,
Artibeus_planirostris,Artibeus_planirostris,Artibeus_jamaicensis,Lump/split,
Artibeus_schwartzi,Artibeus_jamaicensis,Artibeus_jamaicensis,Lump/split,Lump/split
Arvicanthis_abyssinicus,Arvicanthis_abyssinicus,Arvicanthis_abyssinicus,,
Arvicanthis_ansorgei,Arvicanthis_ansorgei,Arvicanthis_ansorgei,,
Arvicanthis_blicki,Arvicanthis_blicki,Arvicanthis_blicki,,
Arvicanthis_nairobae,Arvicanthis_nairobae,Arvicanthis_nairobae,,
Arvicanthis_neumanni,Arvicanthis_neumanni,Arvicanthis_neumanni,,
Arvicanthis_niloticus,Arvicanthis_niloticus,Arvicanthis_niloticus,,
Arvicanthis_rufinus,Arvicanthis_rufinus,Arvicanthis_rufinus,,
Arvicola_amphibius,Arvicola_amphibius,Arvicola_amphibius,,
Arvicola_sapidus,Arvicola_sapidus,Arvicola_sapidus,,
Arvicola_scherman,Arvicola_scherman,Arvicola_scherman,,
Asellia_italosomalica,Asellia_tridens,Asellia_tridens,Lump/split,Lump/split
Asellia_patrizii,Asellia_patrizii,Asellia_patrizii,,
Asellia_tridens,Asellia_tridens,Asellia_tridens,,
Aselliscus_stoliczkanus,Aselliscus_stoliczkanus,Aselliscus_stoliczkanus,,
Aselliscus_tricuspidatus,Aselliscus_tricuspidatus,Aselliscus_tricuspidatus,,
Atelerix_albiventris,Atelerix_albiventris,Atelerix_albiventris,,
Atelerix_algirus,Atelerix_algirus,Atelerix_algirus,,
Atelerix_frontalis,Atelerix_frontalis,Atelerix_frontalis,,
Atelerix_sclateri,Atelerix_sclateri,Atelerix_sclateri,,
Ateles_belzebuth,Ateles_belzebuth,Ateles_belzebuth,,
Ateles_chamek,Ateles_chamek,Ateles_chamek,,
Ateles_fusciceps,Ateles_fusciceps,Ateles_fusciceps,,
Ateles_geoffroyi,Ateles_geoffroyi,Ateles_geoffroyi,,
Ateles_hybridus,Ateles_hybridus,Ateles_hybridus,,
Ateles_marginatus,Ateles_marginatus,Ateles_marginatus,,
Ateles_paniscus,Ateles_paniscus,Ateles_paniscus,,
Atelocynus_microtis,Atelocynus_microtis,Atelocynus_microtis,,
Atherurus_africanus,Atherurus_africanus,Atherurus_africanus,,
Atherurus_macrourus,Atherurus_macrourus,Atherurus_macrourus,,
Atilax_paludinosus,Atilax_paludinosus,Atilax_paludinosus,,
Atlantoxerus_getulus,Atlantoxerus_getulus,Atlantoxerus_getulus,,
Atopogale_cubana,Solenodon_cubanus,Solenodon_cubanus,New genus,New genus
