names_IUCN,names_elton,names_phylo,diff_IUCN_elton,diff_IUCN_phylo
Aerodramus_leucophaeus,Collocalia_leucophaea,Collocalia_leucophaea,New genus,New genus
Aerodramus_maximus,Collocalia_maxima,Collocalia_maxima,New genus,New genus
Aerodramus_mearnsi,Collocalia_mearnsi,Collocalia_mearnsi,New genus,New genus
Aerodramus_nuditarsus,Collocalia_nuditarsus,Collocalia_nuditarsus,New genus,New genus
Aerodramus_orientalis,Collocalia_orientalis,Collocalia_orientalis,New genus,New genus
Aerodramus_papuensis,Collocalia_papuensis,Collocalia_papuensis,New genus,New genus
Aerodramus_pelewensis,Collocalia_pelewensis,Collocalia_vanikorensis,New genus,Lump/split
Aerodramus_salangana,Collocalia_salangana,Collocalia_salangana,New genus,New genus
Aerodramus_sawtelli,Collocalia_sawtelli,Collocalia_sawtelli,New genus,New genus
Aerodramus_spodiopygius,Collocalia_spodiopygia,Collocalia_spodiopygia,New genus,New genus
Aerodramus_terraereginae,Collocalia_spodiopygia,Collocalia_spodiopygia,Lump/split,Lump/split
Aerodramus_unicolor,Collocalia_unicolor,Collocalia_unicolor,New genus,New genus
Aerodramus_vanikorensis,Collocalia_vanikorensis,Collocalia_vanikorensis,New genus,New genus
Aerodramus_vulcanorum,Collocalia_vulcanorum,Collocalia_vulcanorum,New genus,New genus
Aerodramus_whiteheadi,Collocalia_whiteheadi,Collocalia_whiteheadi,New genus,New genus
Aeronautes_andecolus,Aeronautes_andecolus,Aeronautes_andecolus,,
Aeronautes_montivagus,Aeronautes_montivagus,Aeronautes_montivagus,,
Aeronautes_saxatalis,Aeronautes_saxatalis,Aeronautes_saxatalis,,
Aethia_cristatella,Aethia_cristatella,Aethia_cristatella,,
Aethia_psittacula,Aethia_psittacula,Aethia_psittacula,,
Aethia_pusilla,Aethia_pusilla,Aethia_pusilla,,
Aethia_pygmaea,Aethia_pygmaea,Aethia_pygmaea,,
Aethopyga_bella,Aethopyga_bella,Aethopyga_shelleyi,,Lump/split
Aethopyga_boltoni,Aethopyga_boltoni,Aethopyga_boltoni,,
Aethopyga_christinae,Aethopyga_christinae,Aethopyga_christinae,,
Aethopyga_duyvenbodei,Aethopyga_duyvenbodei,Aethopyga_duyvenbodei,,
Aethopyga_eximia,Aethopyga_eximia,Aethopyga_eximia,,
Aethopyga_flagrans,Aethopyga_flagrans,Aethopyga_flagrans,,
Aethopyga_gouldiae,Aethopyga_gouldiae,Aethopyga_gouldiae,,
Aethopyga_guimarasensis,Aethopyga_flagrans,Aethopyga_flagrans,Lump/split,Lump/split
Aethopyga_ignicauda,Aethopyga_ignicauda,Aethopyga_ignicauda,,
Aethopyga_latouchii,Aethopyga_christinae,Aethopyga_christinae,Lump/split,Lump/split
Aethopyga_linaraborae,Aethopyga_linaraborae,Aethopyga_linaraborae,,
Aethopyga_magnifica,Aethopyga_siparaja,Aethopyga_siparaja,Lump/split,Lump/split
Aethopyga_mystacalis,Aethopyga_mystacalis,Aethopyga_mystacalis,,
Aethopyga_nipalensis,Aethopyga_nipalensis,Aethopyga_nipalensis,,
Aethopyga_primigenia,Aethopyga_primigenia,Aethopyga_primigenia,,
Aethopyga_pulcherrima,Aethopyga_pulcherrima,Aethopyga_pulcherrima,,
Aethopyga_saturata,Aethopyga_saturata,Aethopyga_saturata,,
Aethopyga_shelleyi,Aethopyga_shelleyi,Aethopyga_shelleyi,,
Aethopyga_siparaja,Aethopyga_siparaja,Aethopyga_siparaja,,
Aethopyga_temminckii,Aethopyga_mystacalis,Aethopyga_mystacalis,Lump/split,Lump/split
Aethopyga_vigorsii,Aethopyga_siparaja,Aethopyga_siparaja,Lump/split,Lump/split
Afropavo_congensis,Afropavo_congensis,Afropavo_congensis,,
Afrotis_afra,Eupodotis_afra,Eupodotis_afra,New genus,New genus
Afrotis_afraoides,Eupodotis_afraoides,Eupodotis_afra,New genus,Lump/split
Agamia_agami,Agamia_agami,Agamia_agami,,
Agapornis_canus,Agapornis_canus,Agapornis_canus,,
Agapornis_fischeri,Agapornis_fischeri,Agapornis_fischeri,,
Agapornis_lilianae,Agapornis_lilianae,Agapornis_lilianae,,
Agapornis_nigrigenis,Agapornis_nigrigenis,Agapornis_nigrigenis,,
Agapornis_personatus,Agapornis_personatus,Agapornis_personatus,,
Agapornis_pullarius,Agapornis_pullarius,Agapornis_pullarius,,
Agapornis_roseicollis,Agapornis_roseicollis,Agapornis_roseicollis,,
Agapornis_swindernianus,Agapornis_swindernianus,Agapornis_swindernianus,,
Agapornis_taranta,Agapornis_taranta,Agapornis_taranta,,
