"","cell_id","SR"
"961",961,120
"962",962,115
"963",963,118
"964",964,111
"965",965,109
"966",966,111
"967",967,96
"968",968,92
"969",969,89
"970",970,89
"971",971,86
"972",972,81
"973",973,90
"974",974,95
"975",975,102
"976",976,119
"977",977,117
"978",978,117
"979",979,114
"980",980,92
"981",981,38
"982",982,117
"983",983,72
"984",984,128
"985",985,149
"986",986,166
"987",987,170
"988",988,138
"989",989,141
"990",990,118
"991",991,108
"992",992,96
"993",993,96
"994",994,93
"995",995,94
"996",996,105
"997",997,107
"998",998,91
"999",999,81
"1000",1000,78
"1001",1001,78
"1002",1002,94
"1003",1003,92
"1004",1004,74
"1005",1005,72
"1006",1006,67
"1007",1007,72
"1008",1008,70
"1009",1009,62
"1010",1010,65
"1011",1011,74
"1012",1012,84
"1013",1013,104
"1014",1014,113
"1015",1015,106
"1016",1016,80
"1017",1017,92
"1018",1018,54
"1019",1019,98
"1020",1020,99
"1021",1021,80
"1022",1022,155
"1023",1023,147
"1024",1024,131
"1025",1025,157
"1026",1026,152
"1027",1027,182
"1028",1028,182
"1029",1029,173
"1030",1030,149
"1031",1031,97
"1032",1032,97
"1033",1033,89
"1034",1034,80
"1035",1035,77
"1036",1036,81
"1037",1037,82
"1038",1038,79
"1039",1039,77
"1040",1040,63
"1041",1041,61
"1042",1042,60
"1043",1043,60
"1044",1044,66
"1045",1045,71
"1046",1046,63
"1047",1047,53
"1048",1048,48
"1049",1049,52
"1050",1050,48
"1051",1051,49
"1052",1052,48
"1053",1053,48
"1054",1054,65
"1055",1055,74
"1056",1056,82
"1057",1057,93
"1058",1058,93
"1059",1059,53
"1060",1060,54
"1061",1061,38
"1062",1062,31
"1063",1063,99
"1064",1064,81
"1065",1065,74
"1066",1066,173
"1067",1067,164
"1068",1068,139
"1069",1069,146
"1070",1070,172
"1071",1071,77
"1072",1072,139
"1073",1073,178
"1074",1074,186
"1075",1075,190
"1076",1076,182
"1077",1077,142
"1078",1078,71
"1079",1079,62
"1080",1080,50
"1081",1081,46
"1082",1082,45
"1083",1083,53
"1084",1084,60
"1085",1085,56
"1086",1086,54
"1087",1087,47
"1088",1088,44
"1089",1089,50
"1090",1090,55
"1091",1091,40
"1092",1092,34
"1093",1093,35
"1094",1094,32
"1095",1095,32
"1096",1096,33
"1097",1097,28
"1098",1098,29
"1099",1099,30
"1100",1100,34
"1101",1101,46
"1102",1102,50
"1103",1103,54
"1104",1104,70
"1105",1105,70
"1106",1106,50
"1107",1107,44
"1108",1108,28
"1109",1109,29
"1110",1110,30
"1111",1111,34
"1112",1112,87
"1113",1113,72
"1114",1114,74
"1115",1115,69
"1116",1116,91
"1117",1117,157
"1118",1118,171
"1119",1119,170
"1120",1120,146
"1121",1121,192
"1122",1122,179
"1123",1123,78
"1124",1124,153
"1125",1125,158
"1126",1126,177
"1127",1127,191
"1128",1128,111
"1129",1129,110
"1130",1130,20
"1131",1131,35
"1132",1132,33
"1133",1133,29
"1134",1134,23
"1135",1135,21
"1136",1136,20
"1137",1137,21
"1138",1138,30
"1139",1139,37
"1140",1140,32
"1141",1141,29
"1142",1142,32
"1143",1143,39
"1144",1144,27
"1145",1145,21
"1146",1146,17
"1147",1147,21
"1148",1148,21
"1149",1149,17
"1150",1150,17
"1151",1151,18
"1152",1152,16
"1153",1153,24
"1154",1154,31
"1155",1155,38
"1156",1156,46
"1157",1157,53
"1158",1158,48
"1159",1159,35
"1160",1160,18
"1161",1161,17
"1162",1162,19
"1163",1163,27
"1164",1164,31
"1165",1165,30
"1166",1166,83
"1167",1167,82
"1168",1168,76
"1169",1169,75
"1170",1170,74
"1171",1171,70
"1172",1172,107
"1173",1173,168
"1174",1174,177
"1175",1175,181
"1176",1176,178
"1177",1177,207
"1178",1178,134
"1179",1179,148
"1180",1180,122
"1181",1181,165
"1182",1182,87
"1183",1183,26
"1184",1184,27
"1185",1185,24
"1186",1186,20
"1187",1187,15
"1188",1188,14
"1189",1189,13
"1190",1190,14
"1191",1191,16
"1192",1192,24
"1193",1193,22
"1194",1194,27
"1195",1195,25
"1196",1196,25
"1197",1197,19
"1198",1198,16
"1199",1199,19
"1200",1200,19
"1201",1201,18
"1202",1202,15
"1203",1203,17
"1204",1204,15
"1205",1205,15
"1206",1206,18
"1207",1207,27
"1208",1208,30
"1209",1209,35
"1210",1210,39
"1211",1211,51
"1212",1212,43
"1213",1213,21
"1214",1214,16
"1215",1215,20
"1216",1216,15
"1217",1217,16
"1218",1218,24
"1219",1219,31
"1220",1220,58
"1221",1221,80
"1222",1222,75
"1223",1223,76
"1224",1224,82
"1225",1225,72
"1226",1226,66
"1227",1227,74
"1228",1228,76
"1229",1229,122
"1230",1230,129
"1231",1231,151
"1232",1232,184
"1233",1233,204
"1234",1234,189
"1235",1235,196
"1236",1236,160
"1237",1237,141
"1238",1238,112
"1239",1239,111
"1240",1240,149
"1241",1241,28
"1242",1242,24
"1243",1243,19
"1244",1244,14
"1245",1245,14
"1246",1246,12
"1247",1247,14
"1248",1248,14
"1249",1249,15
"1250",1250,21
"1251",1251,29
"1252",1252,30
"1253",1253,27
"1254",1254,24
"1255",1255,17
"1256",1256,18
"1257",1257,19
"1258",1258,17
"1259",1259,14
"1260",1260,16
"1261",1261,16
"1262",1262,15
"1263",1263,19
"1264",1264,28
"1265",1265,40
"1266",1266,38
"1267",1267,41
"1268",1268,43
"1269",1269,29
"1270",1270,21
"1271",1271,24
"1272",1272,22
"1273",1273,19
"1274",1274,20
"1275",1275,33
"1276",1276,37
"1277",1277,36
"1278",1278,59
"1279",1279,65
"1280",1280,76
"1281",1281,71
"1282",1282,75
"1283",1283,79
"1284",1284,72
"1285",1285,63
"1286",1286,74
"1287",1287,76
"1288",1288,73
"1289",1289,84
"1290",1290,142
"1291",1291,142
"1292",1292,181
"1293",1293,200
"1294",1294,202
"1295",1295,205
"1296",1296,199
"1297",1297,161
"1298",1298,114
"1299",1299,97
"1300",1300,89
"1301",1301,80
"1302",1302,52
"1303",1303,120
"1304",1304,128
"1305",1305,88
"1306",1306,112
"1307",1307,112
"1308",1308,32
"1309",1309,21
"1310",1310,17
"1311",1311,15
"1312",1312,14
"1313",1313,12
"1314",1314,13
"1315",1315,15
"1316",1316,24
"1317",1317,25
"1318",1318,29
"1319",1319,27
"1320",1320,23
"1321",1321,20
"1322",1322,18
"1323",1323,16
"1324",1324,14
"1325",1325,13
"1326",1326,14
"1327",1327,15
"1328",1328,15
"1329",1329,19
"1330",1330,31
"1331",1331,40
"1332",1332,33
"1333",1333,27
"1334",1334,19
"1335",1335,24
"1336",1336,26
"1337",1337,25
"1338",1338,25
"1339",1339,59
"1340",1340,59
"1341",1341,61
"1342",1342,78
"1343",1343,66
"1344",1344,67
"1345",1345,63
"1346",1346,60
"1347",1347,62
"1348",1348,68
"1349",1349,64
"1350",1350,115
"1351",1351,141
"1352",1352,154
