"","cell_id","elev_mean","elev_range"
"203",203,33.7288055419922,112
"204",204,87.1265563964844,235
"205",205,156.578994750977,247
"206",206,241.78254699707,251
"207",207,316.651000976562,492
"208",208,308.775939941406,511
"209",209,376.948333740234,900
"210",210,126.849853515625,1063
"211",211,3266.76928710938,5658
"212",212,3945.96313476562,4584
"213",213,1391.6220703125,5381
"214",214,240.628402709961,216
"215",215,143.588851928711,93
"216",216,95.0796508789062,72
"217",217,124.453338623047,675
"218",218,271.013336181641,494
"219",219,553.552124023438,885
"220",220,852.833251953125,1015
"221",221,640.873107910156,1612
"222",222,409.062072753906,1972
"223",223,1322.34313964844,1111
"224",224,1109.98156738281,338
"225",225,1043.8837890625,300
"226",226,1056.31921386719,259
"227",227,1168.80676269531,539
"228",228,1133.69592285156,1119
"229",229,1256.90234375,1306
"230",230,824.459228515625,2176
"231",231,60.0489158630371,616
"232",232,180.843078613281,1388
"233",233,163.518905639648,395
"234",234,409.513854980469,753
"235",235,551.006469726562,521
"236",236,561.536804199219,345
"237",237,462.874938964844,221
"238",238,442.036834716797,172
"239",239,473.782043457031,388
"240",240,584.355895996094,700
"241",241,570.936828613281,745
"242",242,502.398742675781,673
"243",243,270.307891845703,567
"244",244,119.462364196777,241
"245",245,72.7973098754883,144
"246",246,112.565788269043,237
"247",247,178.417663574219,259
"248",248,306.661224365234,306
"249",249,489.995391845703,963
"250",250,340.321624755859,1144
"251",251,255.151092529297,906
"252",252,2268.94995117188,5097
"253",253,4317.44970703125,3366
"254",254,2293.85327148438,4792
"255",255,286.139556884766,1067
"256",256,172.56819152832,117
"257",257,107.524864196777,73
"258",258,171.238525390625,663
"259",259,385.219085693359,610
"260",260,351.975036621094,396
"261",261,504.302673339844,955
"262",262,605.868835449219,601
"263",263,757.081115722656,1901
"264",264,638.246887207031,2608
"265",265,496.822998046875,1731
"266",266,1516.78845214844,1493
"267",267,1363.80603027344,536
"268",268,1202.10473632812,353
"269",269,1076.23205566406,237
"270",270,1055.58044433594,227
"271",271,995.866943359375,595
"272",272,901.182556152344,1569
"273",273,461.333892822266,1676
"274",274,119.196929931641,312
"275",275,81.4277420043945,227
"276",276,590.650695800781,1451
"277",277,570.625549316406,2539
"278",278,121.85285949707,604
"279",279,413.143188476562,987
"280",280,574.492980957031,824
"281",281,480.978240966797,403
"282",282,349.302978515625,289
"283",283,370.3115234375,184
"284",284,405.256286621094,219
"285",285,437.987457275391,443
"286",286,609.319213867188,811
"287",287,652.654052734375,829
"288",288,507.088104248047,804
"289",289,239.086669921875,376
"290",290,164.441329956055,274
"291",291,172.69645690918,246
"292",292,219.525787353516,250
"293",293,266.46337890625,348
"294",294,327.326782226562,661
"295",295,174.848007202148,940
"296",296,2746.57373046875,5745
"297",297,3959.52880859375,2676
"298",298,2728.39135742188,4020
"299",299,599.219055175781,1785
"300",300,212.761352539062,456
"301",301,108.073081970215,82
"302",302,217.468627929688,696
"303",303,390.8662109375,609
"304",304,383.622589111328,369
"305",305,383.500518798828,290
"306",306,503.132629394531,490
"307",307,832.175537109375,1224
"308",308,926.858703613281,1020
"309",309,691.374145507812,1933
"310",310,274.025604248047,2671
"311",311,896.237243652344,2428
"312",312,1444.33984375,997
"313",313,1385.44311523438,557
"314",314,1131.59997558594,406
"315",315,995.146179199219,224
"316",316,952.328918457031,208
"317",317,1044.67883300781,691
"318",318,970.360900878906,1037
"319",319,637.474792480469,1236
"320",320,305.864013671875,1566
"321",321,39.7071495056152,242
"322",322,320.148345947266,1247
"323",323,1000.58325195312,2181
"324",324,127.812110900879,765
"325",325,166.826309204102,533
"326",326,246.681228637695,534
"327",327,262.252685546875,285
"328",328,304.824523925781,227
"329",329,351.942138671875,289
"330",330,388.558868408203,189
"331",331,431.696838378906,376
"332",332,435.090484619141,732
"333",333,390.494171142578,442
"334",334,253.198791503906,195
"335",335,289.320007324219,413
"336",336,212.969146728516,484
"337",337,235.568786621094,594
"338",338,407.428131103516,692
"339",339,247.667221069336,887
"340",340,131.408294677734,1149
"341",341,3488.2373046875,5728
"342",342,3902.8798828125,2848
"343",343,2669.15966796875,4183
"344",344,677.54931640625,2429
"345",345,314.809509277344,1102
"346",346,208.118545532227,1017
"347",347,117.175415039062,872
"348",348,292.550598144531,652
"349",349,575.685607910156,619
"350",350,509.662475585938,551
"351",351,633.994873046875,600
